(All),id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,(All),mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes,
,,,,,,,,,5,2,2017,"1 343,2",20 148,15,
,,,,,,,,,,,2018,"1 628,4",16 284,10,
,,,,,,,,,,,2019,"1 431,75",22 908,16,
,,,,,,,,,6,2,2017,1 633,19 596,12,
,,,,,,,,,,,2018,"662,4",3 312,5,
,,,,,,,,,,,2019,"1 414,5",11 316,8,
,,,,,,,,,,3,2017,1 104,1 104,1,
,,,,,,,,,,,2018,1 288,3 864,3,
,,,,,,,,,,,2019,1 794,3 588,2,
,,,,,,,,,7,3,2017,"1 204,364",13 248,11,
,,,,,,,,,,,2018,"1 352,4",13 524,10,
,,,,,,,,,,,2019,"1 269,6",19 044,15,
,,,,,,,,,8,3,2017,"1 897,5",15 180,8,
,,,,,,,,,,,2018,897,7 176,8,
,,,,,,,,,,,2019,"1 577,143",11 040,7,
,,,,,,,,,9,3,2017,1 564,14 076,9,
,,,,,,,,,,,2018,1 564,14 076,9,
,,,,,,,,,,,2019,2 024,6 072,3,
,,,,,,,,,,4,2017,1 656,1 656,1,
,,,,,,,,,,,2018,1 288,3 864,3,
,,,,,,,,,,,2019,1 748,5 244,3,
,,,,,,,,,10,4,2017,"1 134,667",10 212,9,
,,,,,,,,,,,2018,"1 480,364",16 284,11,
,,,,,,,,,,,2019,"1 167,692",15 180,13,
,,,,,,,,,11,4,2017,1 610,9 660,6,
,,,,,,,,,,,2018,"1 483,5",11 868,8,
,,,,,,,,,,,2019,1 449,11 592,8,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"1 462,8",14 628,10,
,,,,,,,,,,,2018,"1 483,5",11 868,8,
,,,,,,,,,,,2019,1 656,1 656,1,
,3,sports_leisure,250,154,18,9,15,All Dates,1,1,2018,"1 527,778",13 750,9,
,,,,,,,,,,,2019,1 250,12 500,10,
,,,,,,,,,2,1,2018,1 450,21 750,15,
,,,,,,,,,,,2019,"1 453,125",23 250,16,
,,,,,,,,,3,1,2018,"1 464,286",10 250,7,
,,,,,,,,,,,2019,1 500,13 500,9,
,,,,,,,,,,2,2018,875,3 500,4,




,,,,,,,,,,,2019,1 125,2 250,2,
,,,,,,,,,4,2,2018,1 250,10 000,8,
,,,,,,,,,,,2019,1 500,15 000,10,
,,,,,,,,,5,2,2017,"1 406,25",11 250,8,
,,,,,,,,,,,2018,"1 227,273",13 500,11,
,,,,,,,,,,,2019,"1 016,667",15 250,15,
,,,,,,,,,6,2,2017,"916,667",5 500,6,
,,,,,,,,,,,2018,1 000,5 000,5,
,,,,,,,,,,,2019,850,4 250,5,
,,,,,,,,,,3,2017,1 625,3 250,2,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,2 250,2 250,1,
,,,,,,,,,7,3,2017,"1 194,444",10 750,9,
,,,,,,,,,,,2018,"1 354,167",16 250,12,
,,,,,,,,,,,2019,"1 363,636",15 000,11,
,,,,,,,,,8,3,2017,"1 111,111",10 000,9,
,,,,,,,,,,,2018,"1 423,077",18 500,13,
,,,,,,,,,,,2019,1 450,7 250,5,
,,,,,,,,,9,3,2017,"1 187,5",4 750,4,
,,,,,,,,,,,2018,"1 656,25",13 250,8,
,,,,,,,,,,,2019,1 300,6 500,5,
,,,,,,,,,,4,2017,"1 312,5",5 250,4,
,,,,,,,,,,,2018,1 375,2 750,2,
,,,,,,,,,,,2019,"583,333",1 750,3,
,,,,,,,,,10,4,2017,"895,833",10 750,12,
,,,,,,,,,,,2018,950,9 500,10,
,,,,,,,,,,,2019,"1 437,5",5 750,4,
,,,,,,,,,11,4,2017,"1 545,455",17 000,11,
,,,,,,,,,,,2018,"1 159,091",12 750,11,
,,,,,,,,,,,2019,"1 160,714",16 250,14,
,,,,,,,,,12,1,2017,2 250,2 250,1,
,,,,,,,,,,,2018,1 250,2 500,2,
,,,,,,,,,,4,2017,1 125,11 250,10,
,,,,,,,,,,,2018,1 500,10 500,7,
,,,,,,,,,,,2019,,,,
,4,baby,261,371,26,4,26,All Dates,1,1,2018,"1 518,545",16 704,11,
,,,,,,,,,,,2019,"1 174,5",9 396,8,
,,,,,,,,,2,1,2018,"1 230,429",8 613,7,
,,,,,,,,,,,2019,"1 278,9",12 789,10,
,,,,,,,,,3,1,2018,"1 416,857",9 918,7,
,,,,,,,,,,,2019,"1 174,5",14 094,12,
,,,,,,,,,,2,2018,522,1 566,3,
,,,,,,,,,,,2019,870,2 610,3,
,,,,,,,,,4,2,2018,"1 174,5",4 698,4,
,,,,,,,,,,,2019,"1 244,769",16 182,13,
,,,,,,,,,5,2,2017,"1 468,125",23 490,16,
,,,,,,,,,,,2018,1 914,11 484,6,
,,,,,,,,,,,2019,"1 376,182",15 138,11,
,,,,,,,,,6,2,2017,"1 076,625",8 613,8,
,,,,,,,,,,,2018,1 479,13 311,9,
,,,,,,,,,,,2019,"1 348,5",8 091,6,
,,,,,,,,,,3,2017,,,,
,,,,,,,,,,,2018,1 218,3 654,3,
,,,,,,,,,,,2019,1 566,4 698,3,
,,,,,,,,,7,3,2017,1 363,12 267,9,
,,,,,,,,,,,2018,1 044,9 396,9,
,,,,,,,,,,,2019,"1 435,5",8 613,6,
,,,,,,,,,8,3,2017,"1 618,2",16 182,10,
,,,,,,,,,,,2018,1 160,10 440,9,
,,,,,,,,,,,2019,"1 026,6",15 399,15,
,,,,,,,,,9,3,2017,2 088,4 176,2,
,,,,,,,,,,,2018,1 711,15 399,9,
,,,,,,,,,,,2019,"1 454,143",20 358,14,
,,,,,,,,,,4,2017,,,,
,,,,,,,,,,,2018,261,522,2,
,,,,,,,,,,,2019,783,783,1,
,,,,,,,,,10,4,2017,"1 323,643",18 531,14,
,,,,,,,,,,,2018,1 276,11 484,9,
,,,,,,,,,,,2019,1 044,7 308,7,
,,,,,,,,,11,4,2017,"1 618,2",24 273,15,
,,,,,,,,,,,2018,1 566,18 792,12,
,,,,,,,,,,,2019,"1 539,9",15 399,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,1 827,9 135,5,
,,,,,,,,,,,2018,"1 663,875",13 311,8,
,,,,,,,,,,,2019,,,,
,5,housewares,402,625,20,17,13,All Dates,1,1,2018,"1 768,8",26 532,15,
,,,,,,,,,,,2019,2 010,20 100,10,
,,,,,,,,,2,1,2018,"2 445,5",29 346,12,
,,,,,,,,,,,2019,"1 936,909",21 306,11,
,,,,,,,,,3,1,2018,"2 043,5",24 522,12,
,,,,,,,,,,,2019,"1 574,5",18 894,12,
,,,,,,,,,,2,2018,2 211,4 422,2,
,,,,,,,,,,,2019,"1 849,2",9 246,5,
,,,,,,,,,4,2,2018,"1 959,75",15 678,8,
,,,,,,,,,,,2019,2 010,14 070,7,
,,,,,,,,,5,2,2017,2 010,16 080,8,
,,,,,,,,,,,2018,1 608,14 472,9,
,,,,,,,,,,,2019,"2 302,364",25 326,11,
,,,,,,,,,6,2,2017,"1 045,2",5 226,5,
,,,,,,,,,,,2018,"1 557,75",12 462,8,




,,,,,,,,,,,2019,1 809,14 472,8,
,,,,,,,,,,3,2017,2 010,2 010,1,
,,,,,,,,,,,2018,804,804,1,
,,,,,,,,,,,2019,"1 849,2",9 246,5,
,,,,,,,,,7,3,2017,2 077,24 924,12,
,,,,,,,,,,,2018,"2 124,857",29 748,14,
,,,,,,,,,,,2019,"1 866,429",26 130,14,
,,,,,,,,,8,3,2017,"1 700,769",22 110,13,
,,,,,,,,,,,2018,"1 563,333",14 070,9,
,,,,,,,,,,,2019,"2 067,429",28 944,14,
,,,,,,,,,9,3,2017,"1 697,333",15 276,9,
,,,,,,,,,,,2018,"1 965,333",17 688,9,
,,,,,,,,,,,2019,2 010,20 100,10,
,,,,,,,,,,4,2017,2 010,2 010,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,2 211,13 266,6,
,,,,,,,,,10,4,2017,"2 160,75",17 286,8,
,,,,,,,,,,,2018,"964,8",9 648,10,
,,,,,,,,,,,2019,"1 824,461",23 718,13,
,,,,,,,,,11,4,2017,"2 371,8",23 718,10,
,,,,,,,,,,,2018,"2 083,091",22 914,11,
,,,,,,,,,,,2019,"1 786,667",16 080,9,
,,,,,,,,,12,1,2017,1 608,1 608,1,
,,,,,,,,,,,2018,2 010,10 050,5,
,,,,,,,,,,4,2017,2 278,6 834,3,
,,,,,,,,,,,2018,"2 160,75",17 286,8,
,,,,,,,,,,,2019,2 412,4 824,2,
,6,musical_instruments,745,200,38,5,11,All Dates,1,1,2018,"4 334,546",47 680,11,
,,,,,,,,,,,2019,"3 386,364",37 250,11,
,,,,,,,,,2,1,2018,"5 002,143",35 015,7,
,,,,,,,,,,,2019,"3 642,222",32 780,9,
,,,,,,,,,3,1,2018,"3 405,714",23 840,7,
,,,,,,,,,,,2019,"4 345,833",26 075,6,
,,,,,,,,,,2,2018,"4 718,333",14 155,3,
,,,,,,,,,,,2019,4 321,21 605,5,
,,,,,,,,,4,2,2018,"2 767,143",19 370,7,
,,,,,,,,,,,2019,3 278,32 780,10,
,,,,,,,,,5,2,2017,"4 144,062",66 305,16,
,,,,,,,,,,,2018,"3 352,5",33 525,10,
,,,,,,,,,,,2019,3 725,44 700,12,
,,,,,,,,,6,2,2017,"4 097,5",32 780,8,
,,,,,,,,,,,2018,"3 318,636",36 505,11,
,,,,,,,,,,,2019,"4 190,625",33 525,8,
,,,,,,,,,,3,2017,5 215,10 430,2,
,,,,,,,,,,,2018,"2 607,5",5 215,2,
,,,,,,,,,,,2019,2 980,8 940,3,
,,,,,,,,,7,3,2017,"4 641,923",60 345,13,
,,,,,,,,,,,2018,4 470,35 760,8,
,,,,,,,,,,,2019,"4 635,556",41 720,9,
,,,,,,,,,8,3,2017,"3 352,5",20 115,6,
,,,,,,,,,,,2018,3 725,29 800,8,
,,,,,,,,,,,2019,"4 334,546",47 680,11,
,,,,,,,,,9,3,2017,"3 386,364",37 250,11,
,,,,,,,,,,,2018,"4 044,286",28 310,7,
,,,,,,,,,,,2019,4 470,22 350,5,
,,,,,,,,,,4,2017,3 725,3 725,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,2 235,8 940,4,
,,,,,,,,,10,4,2017,"3 973,333",47 680,12,
,,,,,,,,,,,2018,"3 849,167",46 190,12,
,,,,,,,,,,,2019,"3 849,167",23 095,6,
,,,,,,,,,11,4,2017,"4 011,539",52 150,13,
,,,,,,,,,,,2018,"3 890,556",35 015,9,
,,,,,,,,,,,2019,"4 283,75",51 405,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,3 725,33 525,9,
,,,,,,,,,,,2018,4 917,24 585,5,
,,,,,,,,,,,2019,1 490,1 490,1,
,7,cool_stuff,1272,18350,70,24,44,All Dates,1,1,2018,"8 522,4",85 224,10,
,,,,,,,,,,,2019,"5 596,8",27 984,5,
,,,,,,,,,2,1,2018,7 950,63 600,8,
,,,,,,,,,,,2019,"8 210,182",90 312,11,
,,,,,,,,,3,1,2018,8 904,62 328,7,
,,,,,,,,,,,2019,7 632,45 792,6,
,,,,,,,,,,2,2018,6 996,27 984,4,
,,,,,,,,,,,2019,7 844,47 064,6,
,,,,,,,,,4,2,2018,5 724,57 240,10,
,,,,,,,,,,,2019,"7 914,667",71 232,9,
,,,,,,,,,5,2,2017,7 208,43 248,6,
,,,,,,,,,,,2018,"5 229,333",47 064,9,
,,,,,,,,,,,2019,"6 450,857",90 312,14,
,,,,,,,,,6,2,2017,7 632,53 424,7,
,,,,,,,,,,,2018,"7 349,333",66 144,9,
,,,,,,,,,,,2019,7 420,44 520,6,
,,,,,,,,,,3,2017,10 176,10 176,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,"4 833,6",24 168,5,
,,,,,,,,,7,3,2017,"5 633,143",39 432,7,
,,,,,,,,,,,2018,5 247,41 976,8,
,,,,,,,,,,,2019,5 724,68 688,12,
,,,,,,,,,8,3,2017,6 572,39 432,6,




,,,,,,,,,,,2018,"6 905,143",96 672,14,
,,,,,,,,,,,2019,"6 244,364",68 688,11,
,,,,,,,,,9,3,2017,"7 747,636",85 224,11,
,,,,,,,,,,,2018,8 056,48 336,6,
,,,,,,,,,,,2019,"5 596,8",27 984,5,
,,,,,,,,,,4,2017,6 784,20 352,3,
,,,,,,,,,,,2018,"6 614,4",33 072,5,
,,,,,,,,,,,2019,6 360,25 440,4,
,,,,,,,,,10,4,2017,5 247,41 976,8,
,,,,,,,,,,,2018,6 784,61 056,9,
,,,,,,,,,,,2019,"3 307,2",16 536,5,
,,,,,,,,,11,4,2017,6 148,36 888,6,
,,,,,,,,,,,2018,"7 995,429",55 968,7,
,,,,,,,,,,,2019,"7 886,4",78 864,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"8 358,857",58 512,7,
,,,,,,,,,,,2018,7 473,59 784,8,
,,,,,,,,,,,2019,2 544,2 544,1,
,8,furniture_decor,184,900,40,8,40,All Dates,1,1,2018,"809,6",4 048,5,
,,,,,,,,,,,2019,"938,4",9 384,10,
,,,,,,,,,2,1,2018,"695,111",6 256,9,
,,,,,,,,,,,2019,"766,667",4 600,6,
,,,,,,,,,3,1,2018,"613,333",3 680,6,
,,,,,,,,,,,2019,920,7 360,8,
,,,,,,,,,,2,2018,1 104,2 208,2,
,,,,,,,,,,,2019,184,184,1,
,,,,,,,,,4,2,2018,"1 182,857",16 560,14,
,,,,,,,,,,,2019,"1 063,111",9 568,9,
,,,,,,,,,5,2,2017,"1 048,8",10 488,10,
,,,,,,,,,,,2018,414,1 656,4,
,,,,,,,,,,,2019,"762,286",5 336,7,
,,,,,,,,,6,2,2017,1 288,3 864,3,
,,,,,,,,,,,2018,"1 122,4",11 224,10,
,,,,,,,,,,,2019,"936,727",10 304,11,
,,,,,,,,,,3,2017,,,,
,,,,,,,,,,,2018,"981,333",2 944,3,
,,,,,,,,,,,2019,1 104,1 104,1,
,,,,,,,,,7,3,2017,"791,2",7 912,10,
,,,,,,,,,,,2018,966,11 592,12,
,,,,,,,,,,,2019,690,2 760,4,
,,,,,,,,,8,3,2017,"788,571",5 520,7,
,,,,,,,,,,,2018,"1 042,667",9 384,9,
,,,,,,,,,,,2019,"674,667",4 048,6,
,,,,,,,,,9,3,2017,"1 226,667",11 040,9,
,,,,,,,,,,,2018,1 104,13 248,12,
,,,,,,,,,,,2019,828,4 968,6,
,,,,,,,,,,4,2017,"993,6",4 968,5,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,920,920,1,
,,,,,,,,,10,4,2017,"836,364",9 200,11,
,,,,,,,,,,,2018,"776,889",6 992,9,
,,,,,,,,,,,2019,"1 087,273",11 960,11,
,,,,,,,,,11,4,2017,"1 077,714",7 544,7,
,,,,,,,,,,,2018,"1 226,667",3 680,3,
,,,,,,,,,,,2019,"981,333",5 888,6,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"1 037,091",11 408,11,
,,,,,,,,,,,2018,"898,353",15 272,17,
,,,,,,,,,,,2019,1 472,1 472,1,
,9,home_appliances,163,400,27,13,17,All Dates,1,1,2018,"619,4",6 194,10,
,,,,,,,,,,,2019,"724,444",6 520,9,
,,,,,,,,,2,1,2018,"861,571",12 062,14,
,,,,,,,,,,,2019,"586,8",5 868,10,
,,,,,,,,,3,1,2018,"1 026,9",10 269,10,
,,,,,,,,,,,2019,652,2 608,4,
,,,,,,,,,,2,2018,978,978,1,
,,,,,,,,,,,2019,,,,
,,,,,,,,,4,2,2018,"778,778",7 009,9,
,,,,,,,,,,,2019,"745,143",5 216,7,
,,,,,,,,,5,2,2017,"576,769",7 498,13,
,,,,,,,,,,,2018,"910,083",10 921,12,
,,,,,,,,,,,2019,"835,375",6 683,8,
,,,,,,,,,6,2,2017,"869,333",7 824,9,
,,,,,,,,,,,2018,"631,625",5 053,8,
,,,,,,,,,,,2019,"271,667",815,3,
,,,,,,,,,,3,2017,978,2 934,3,
,,,,,,,,,,,2018,"861,571",6 031,7,
,,,,,,,,,,,2019,"1 018,75",4 075,4,
,,,,,,,,,7,3,2017,"749,8",7 498,10,
,,,,,,,,,,,2018,"550,125",4 401,8,
,,,,,,,,,,,2019,"882,917",10 595,12,
,,,,,,,,,8,3,2017,"794,625",6 357,8,
,,,,,,,,,,,2018,"869,333",13 040,15,
,,,,,,,,,,,2019,652,5 868,9,
,,,,,,,,,9,3,2017,"1 222,5",4 890,4,
,,,,,,,,,,,2018,"570,5",2 282,4,
,,,,,,,,,,,2019,"842,167",5 053,6,
,,,,,,,,,,4,2017,489,489,1,
,,,,,,,,,,,2018,"896,5",1 793,2,
,,,,,,,,,,,2019,815,1 630,2,




,,,,,,,,,10,4,2017,"967,133",14 507,15,
,,,,,,,,,,,2018,"711,273",7 824,11,
,,,,,,,,,,,2019,"631,625",5 053,8,
,,,,,,,,,11,4,2017,"865,938",13 855,16,
,,,,,,,,,,,2018,"884,857",6 194,7,
,,,,,,,,,,,2019,"923,667",11 084,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,978,978,1,
,,,,,,,,,,4,2017,"721,857",5 053,7,
,,,,,,,,,,,2018,"791,714",5 542,7,
,,,,,,,,,,,2019,163,163,1,
,10,toys,1156,600,17,10,12,All Dates,1,1,2018,4 624,46 240,10,
,,,,,,,,,,,2019,"5 614,857",39 304,7,
,,,,,,,,,2,1,2018,"6 830,909",75 140,11,
,,,,,,,,,,,2019,"7 167,2",35 836,5,
,,,,,,,,,3,1,2018,"5 057,5",40 460,8,
,,,,,,,,,,,2019,3 757,15 028,4,
,,,,,,,,,,2,2018,1 156,1 156,1,
,,,,,,,,,,,2019,6 936,20 808,3,
,,,,,,,,,4,2,2018,"5 137,778",46 240,9,
,,,,,,,,,,,2019,"7 146,182",78 608,11,
,,,,,,,,,5,2,2017,5 202,41 616,8,
,,,,,,,,,,,2018,"5 009,333",75 140,15,
,,,,,,,,,,,2019,"6 627,733",99 416,15,
,,,,,,,,,6,2,2017,"5 945,143",41 616,7,
,,,,,,,,,,,2018,4 624,18 496,4,
,,,,,,,,,,,2019,"6 704,8",33 524,5,
,,,,,,,,,,3,2017,10 404,10 404,1,
,,,,,,,,,,,2018,9 248,18 496,2,
,,,,,,,,,,,2019,"3 853,333",11 560,3,
,,,,,,,,,7,3,2017,"6 523,143",91 324,14,
,,,,,,,,,,,2018,"5 664,4",56 644,10,
,,,,,,,,,,,2019,"4 939,273",54 332,11,
,,,,,,,,,8,3,2017,6 936,69 360,10,
,,,,,,,,,,,2018,"6 242,4",93 636,15,
,,,,,,,,,,,2019,"4 001,539",52 020,13,
,,,,,,,,,9,3,2017,"5 086,4",25 432,5,
,,,,,,,,,,,2018,"6 126,8",61 268,10,
,,,,,,,,,,,2019,2 890,11 560,4,
,,,,,,,,,,4,2017,4 913,19 652,4,
,,,,,,,,,,,2018,"6 550,667",19 652,3,
,,,,,,,,,,,2019,5 780,23 120,4,
,,,,,,,,,10,4,2017,"5 674,909",62 424,11,
,,,,,,,,,,,2018,"5 266,222",47 396,9,
,,,,,,,,,,,2019,"7 558,462",98 260,13,
,,,,,,,,,11,4,2017,"6 743,333",40 460,6,
,,,,,,,,,,,2018,"5 957,846",77 452,13,
,,,,,,,,,,,2019,6 358,76 296,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"7 578,222",68 204,9,
,,,,,,,,,,,2018,"4 084,533",61 268,15,
,,,,,,,,,,,2019,6 358,12 716,2,
,11,bed_bath_table,630,1100,16,10,16,All Dates,1,1,2018,"3 937,5",31 500,8,
,,,,,,,,,,,2019,2 205,17 640,8,
,,,,,,,,,2,1,2018,"3 665,454",40 320,11,
,,,,,,,,,,,2019,3 066,45 990,15,
,,,,,,,,,3,1,2018,"2 598,75",20 790,8,
,,,,,,,,,,,2019,2 700,18 900,7,
,,,,,,,,,,2,2018,1 680,5 040,3,
,,,,,,,,,,,2019,1 890,3 780,2,
,,,,,,,,,4,2,2018,3 024,30 240,10,
,,,,,,,,,,,2019,3 465,27 720,8,
,,,,,,,,,5,2,2017,3 339,33 390,10,
,,,,,,,,,,,2018,3 510,24 570,7,
,,,,,,,,,,,2019,2 590,23 310,9,
,,,,,,,,,6,2,2017,3 150,28 350,9,
,,,,,,,,,,,2018,"3 307,5",26 460,8,
,,,,,,,,,,,2019,2 940,26 460,9,
,,,,,,,,,,3,2017,2 520,2 520,1,
,,,,,,,,,,,2018,2 415,14 490,6,
,,,,,,,,,,,2019,3 780,22 680,6,
,,,,,,,,,7,3,2017,"3 436,364",37 800,11,
,,,,,,,,,,,2018,"3 307,5",26 460,8,
,,,,,,,,,,,2019,"2 677,5",32 130,12,
,,,,,,,,,8,3,2017,3 570,32 130,9,
,,,,,,,,,,,2018,3 150,22 050,7,
,,,,,,,,,,,2019,2 970,20 790,7,
,,,,,,,,,9,3,2017,2 772,27 720,10,
,,,,,,,,,,,2018,3 330,23 310,7,
,,,,,,,,,,,2019,3 276,16 380,5,
,,,,,,,,,,4,2017,"2 677,5",10 710,4,
,,,,,,,,,,,2018,1 260,2 520,2,
,,,,,,,,,,,2019,3 150,6 300,2,
,,,,,,,,,10,4,2017,3 906,39 060,10,
,,,,,,,,,,,2018,3 885,46 620,12,
,,,,,,,,,,,2019,"3 343,846",43 470,13,
,,,,,,,,,11,4,2017,4 230,29 610,7,
,,,,,,,,,,,2018,3 060,42 840,14,
,,,,,,,,,,,2019,3 960,27 720,7,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,




,,,,,,,,,,4,2017,"2 229,231",28 980,13,
,,,,,,,,,,,2018,3 150,31 500,10,
,,,,,,,,,,,2019,1 890,1 890,1,
,12,construction_tools_safety,1602,200,17,7,17,All Dates,1,1,2018,"8 155,636",89 712,11,
,,,,,,,,,,,2019,"5 807,25",46 458,8,
,,,,,,,,,2,1,2018,8 544,25 632,3,
,,,,,,,,,,,2019,8 188,73 692,9,
,,,,,,,,,3,1,2018,8 010,24 030,3,
,,,,,,,,,,,2019,"7 552,286",52 866,7,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,4 806,4 806,1,
,,,,,,,,,4,2,2018,7 209,57 672,8,
,,,,,,,,,,,2019,9 790,88 110,9,
,,,,,,,,,5,2,2017,"7 529,4",75 294,10,
,,,,,,,,,,,2018,"8 330,4",83 304,10,
,,,,,,,,,,,2019,"7 048,8",70 488,10,
,,,,,,,,,6,2,2017,8 544,51 264,6,
,,,,,,,,,,,2018,"10 340,182",113 742,11,
,,,,,,,,,,,2019,"6 808,5",27 234,4,
,,,,,,,,,,3,2017,3 204,6 408,2,
,,,,,,,,,,,2018,6 141,36 846,6,
,,,,,,,,,,,2019,10 680,32 040,3,
,,,,,,,,,7,3,2017,8 722,78 498,9,
,,,,,,,,,,,2018,"9 175,091",100 926,11,
,,,,,,,,,,,2019,"8 330,4",83 304,10,
,,,,,,,,,8,3,2017,8 010,88 110,11,
,,,,,,,,,,,2018,6 052,54 468,9,
,,,,,,,,,,,2019,"5 825,454",64 080,11,
,,,,,,,,,9,3,2017,8 811,52 866,6,
,,,,,,,,,,,2018,"7 369,2",36 846,5,
,,,,,,,,,,,2019,7 209,72 090,10,
,,,,,,,,,,4,2017,10 680,32 040,3,
,,,,,,,,,,,2018,6 942,20 826,3,
,,,,,,,,,,,2019,7 209,14 418,2,
,,,,,,,,,10,4,2017,"8 883,818",97 722,11,
,,,,,,,,,,,2018,7 120,64 080,9,
,,,,,,,,,,,2019,"9 772,2",97 722,10,
,,,,,,,,,11,4,2017,"8 749,385",113 742,13,
,,,,,,,,,,,2018,"7 409,25",59 274,8,
,,,,,,,,,,,2019,5 607,56 070,10,
,,,,,,,,,12,1,2017,12 816,12 816,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"9 011,25",72 090,8,
,,,,,,,,,,,2018,"8 582,143",120 150,14,
,,,,,,,,,,,2019,4 806,9 612,2,
,13,computers_accessories,636,900,40,15,20,All Dates,1,1,2018,"4 542,857",31 800,7,
,,,,,,,,,,,2019,"3 030,353",51 516,17,
,,,,,,,,,2,1,2018,5 247,20 988,4,
,,,,,,,,,,,2019,3 392,20 352,6,
,,,,,,,,,3,1,2018,"2 402,667",21 624,9,
,,,,,,,,,,,2019,3 604,10 812,3,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,3 604,10 812,3,
,,,,,,,,,4,2,2018,"3 688,8",36 888,10,
