id_service,id_product,id_client,id_employe,quantite,avis,date_service
109,21,22720,60,8,3,04/05/2017 12:27:11
110,18,25372,49,9,3,04/05/2017 13:18:04
111,55,3152,39,4,3,04/05/2017 13:30:24
112,18,671,35,1,3,04/05/2017 14:25:40
113,65,14578,62,1,4,04/05/2017 14:47:17
114,2,20331,51,7,5,04/05/2017 15:26:49
115,27,28878,49,2,1,04/05/2017 15:44:06
116,20,8040,65,6,4,04/05/2017 16:17:07
117,3,13236,49,5,3,04/05/2017 17:10:14
118,36,26722,55,5,4,04/05/2017 17:44:12
119,32,9894,43,1,1,04/05/2017 18:09:48
120,53,29200,45,9,3,04/05/2017 18:54:49
121,26,24781,44,8,4,04/05/2017 19:27:17
122,27,10083,38,6,3,04/05/2017 20:51:33
123,30,2462,36,9,2,04/05/2017 21:29:15
124,9,18853,44,6,2,04/05/2017 22:11:17
125,38,29398,51,1,3,04/05/2017 22:17:18
126,50,17631,55,3,5,04/05/2017 22:57:28
127,61,20801,36,6,2,04/05/2017 23:45:47
128,20,24361,36,1,3,05/05/2017 01:02:09
129,71,3173,55,5,5,05/05/2017 01:13:28
130,37,1961,42,4,5,05/05/2017 02:00:42
131,6,9259,39,2,4,05/05/2017 02:20:25
132,61,4513,46,3,4,05/05/2017 04:24:51
133,37,19703,61,2,1,05/05/2017 05:00:08
134,18,27774,51,7,1,05/05/2017 06:17:25
135,25,29248,34,9,2,05/05/2017 07:07:02
136,27,26564,38,6,2,05/05/2017 07:07:55
137,5,22110,36,3,2,05/05/2017 08:07:26
138,57,2605,66,4,5,05/05/2017 08:44:30
139,48,11895,36,9,1,05/05/2017 11:36:47
140,49,8798,40,7,1,05/05/2017 11:50:52
141,63,26591,54,7,3,05/05/2017 11:59:25
142,24,5199,61,9,2,05/05/2017 15:21:54
143,40,11539,34,4,3,05/05/2017 15:37:08
144,70,6053,63,1,1,05/05/2017 15:50:10
145,30,14304,43,6,4,05/05/2017 16:13:55
146,69,28119,51,2,1,05/05/2017 16:47:10
147,7,1091,38,7,4,05/05/2017 16:52:42
148,40,12508,60,3,5,05/05/2017 17:37:29
149,13,1455,53,9,4,05/05/2017 17:59:43
150,18,4916,42,1,3,05/05/2017 18:35:36
151,61,25217,63,7,3,05/05/2017 18:41:55
152,25,20072,43,2,1,05/05/2017 18:49:48
153,36,10610,64,6,4,05/05/2017 19:09:04
154,28,22561,57,2,2,05/05/2017 19:29:49
155,29,26788,49,4,3,05/05/2017 19:49:19
156,64,14791,49,1,4,05/05/2017 20:18:48
157,17,4559,35,6,1,05/05/2017 21:59:25
158,56,22298,59,8,5,05/05/2017 22:17:18
159,43,6774,37,5,4,05/05/2017 22:44:17
160,38,2670,48,6,3,05/05/2017 22:45:39
161,55,7905,63,4,3,05/05/2017 22:48:28
162,71,5978,39,2,1,05/05/2017 23:09:45
163,30,4303,65,1,2,06/05/2017 00:50:35
164,35,8439,52,4,4,06/05/2017 02:02:21
165,59,6613,44,5,3,06/05/2017 02:57:39
166,12,6547,54,2,1,06/05/2017 03:15:39
167,69,19331,50,8,1,06/05/2017 03:32:09
168,21,23752,38,9,2,06/05/2017 04:32:51
169,12,5326,37,9,3,06/05/2017 04:38:16
170,49,26855,36,4,5,06/05/2017 05:09:42
171,49,10820,49,5,1,06/05/2017 05:55:42
172,28,2520,60,4,3,06/05/2017 08:31:18
173,63,24913,36,9,1,06/05/2017 12:09:02
174,31,12749,42,8,2,06/05/2017 12:33:30
175,11,23205,42,9,3,06/05/2017 14:36:18
176,49,4226,64,2,4,06/05/2017 15:09:16
177,43,17350,67,4,3,06/05/2017 15:33:00
178,49,27562,43,4,1,06/05/2017 16:34:34
179,43,9885,43,3,1,06/05/2017 16:40:22
180,27,2530,48,8,2,06/05/2017 16:45:02
181,34,15134,61,3,2,06/05/2017 17:15:49
182,44,20495,61,8,2,06/05/2017 17:45:11
183,9,28634,56,4,4,06/05/2017 17:50:26
184,51,5416,48,1,4,06/05/2017 17:53:02
185,55,27433,42,1,3,06/05/2017 18:59:51
186,60,16957,39,9,1,06/05/2017 19:22:06
187,34,15974,66,1,5,06/05/2017 19:59:57
188,44,29675,44,3,1,06/05/2017 20:50:40
189,58,25836,53,3,1,06/05/2017 21:16:55
190,45,12627,54,9,3,06/05/2017 21:22:40
191,68,7263,63,4,3,06/05/2017 22:01:15
192,16,25287,40,6,2,06/05/2017 23:30:26
193,36,11315,51,2,3,07/05/2017 00:57:59
194,53,28562,62,9,5,07/05/2017 01:29:48
195,68,14393,66,5,1,07/05/2017 02:56:54
196,1,23735,55,7,1,07/05/2017 05:47:34
197,4,14019,34,5,5,07/05/2017 06:13:34
198,53,18584,59,6,3,07/05/2017 06:37:33
199,39,16605,44,9,5,07/05/2017 06:59:12
200,62,1783,59,6,1,07/05/2017 07:08:28
201,69,3515,41,3,3,07/05/2017 07:26:39
202,14,26671,59,1,4,07/05/2017 09:28:44
203,67,13414,43,8,4,07/05/2017 09:44:51
204,22,29020,67,6,4,07/05/2017 10:17:20
205,13,26192,42,9,3,07/05/2017 12:45:16
206,29,21855,52,1,4,07/05/2017 13:26:43
207,66,1370,48,2,3,07/05/2017 13:36:27
208,27,23010,43,7,3,07/05/2017 13:42:10
209,5,29935,38,5,1,07/05/2017 13:44:53
210,59,10668,45,2,1,07/05/2017 15:01:30
211,31,27903,57,6,3,07/05/2017 15:46:36
212,64,29163,61,3,3,07/05/2017 16:51:07
213,51,23359,47,6,2,07/05/2017 16:57:26
214,7,20005,50,8,3,07/05/2017 17:25:36
215,8,27338,44,1,4,07/05/2017 17:36:16
216,5,19166,35,3,1,07/05/2017 17:52:02
217,10,16783,56,4,5,07/05/2017 18:01:16
218,37,29046,61,3,5,07/05/2017 18:18:41
219,15,24126,52,2,1,07/05/2017 18:29:10
220,41,21626,45,4,4,07/05/2017 19:04:48
221,68,29538,57,8,3,07/05/2017 19:39:16
222,9,5308,52,2,4,07/05/2017 20:24:58
223,66,20126,67,1,3,07/05/2017 20:59:23
224,64,25320,37,8,3,07/05/2017 21:17:29
225,48,7652,48,3,2,07/05/2017 21:30:57
226,49,21287,63,7,3,07/05/2017 21:34:37
227,66,25877,48,3,5,07/05/2017 21:35:33
228,6,4149,49,5,4,07/05/2017 22:57:58
229,42,2247,41,9,2,08/05/2017 00:32:14
230,2,12736,35,2,3,08/05/2017 02:07:55
231,3,16261,42,7,1,08/05/2017 02:47:58
232,22,27123,46,3,1,08/05/2017 03:10:20
233,32,21006,66,5,1,08/05/2017 03:11:59
234,43,11374,52,2,5,08/05/2017 03:48:10
235,60,22515,62,3,5,08/05/2017 04:22:06
236,25,15567,56,5,2,08/05/2017 05:04:09
237,6,17753,37,6,3,08/05/2017 05:09:50
238,3,24439,62,2,5,08/05/2017 05:10:52
239,68,15483,35,3,3,08/05/2017 05:17:33
240,58,15933,41,8,1,08/05/2017 05:57:52
241,43,20079,53,9,1,08/05/2017 07:28:08
242,5,26758,58,5,1,08/05/2017 07:42:06
243,67,17932,43,3,2,08/05/2017 07:48:06
244,51,7532,36,4,4,08/05/2017 08:16:01
245,22,12999,39,7,1,08/05/2017 08:56:11
246,68,8153,67,9,4,08/05/2017 09:41:13
247,25,11398,40,4,4,08/05/2017 10:11:49
248,23,1187,48,2,3,08/05/2017 10:49:36
249,25,6742,36,2,4,08/05/2017 12:00:19
250,39,1902,38,6,5,08/05/2017 13:57:23
251,50,18377,42,4,1,08/05/2017 14:36:44
252,48,20328,59,5,3,08/05/2017 14:59:16
253,12,14702,42,2,5,08/05/2017 15:01:41
254,61,26462,41,5,2,08/05/2017 15:09:01
255,68,9009,63,2,5,08/05/2017 15:38:50
256,67,16028,37,5,3,08/05/2017 15:47:09
257,11,5933,37,9,1,08/05/2017 16:05:42
258,28,27335,45,5,5,08/05/2017 17:01:29
259,44,14043,35,2,2,08/05/2017 17:03:38
260,11,2057,60,7,2,08/05/2017 17:42:57
261,29,23078,34,2,2,08/05/2017 17:57:00
262,7,24565,36,3,3,08/05/2017 18:43:22
263,45,6161,52,8,5,08/05/2017 18:55:40
264,46,25482,65,4,1,08/05/2017 19:05:23
265,29,5106,53,3,2,08/05/2017 19:16:20
266,59,11897,66,6,5,08/05/2017 19:31:16
267,30,21672,42,3,2,08/05/2017 20:10:25
268,36,28076,48,7,4,08/05/2017 21:05:02
269,65,8271,58,6,1,08/05/2017 21:27:32
270,71,26667,55,4,1,08/05/2017 21:32:42
271,42,14645,64,9,2,08/05/2017 21:39:40
272,55,26398,42,4,4,08/05/2017 21:51:43
273,68,10833,58,5,3,08/05/2017 22:19:49
274,47,23315,34,4,5,09/05/2017 00:23:00
275,12,22789,67,7,5,09/05/2017 01:12:34
276,37,24671,61,8,5,09/05/2017 02:17:10
277,2,5153,42,6,5,09/05/2017 02:47:36
278,30,8440,45,4,5,09/05/2017 03:49:55
279,44,21874,47,7,4,09/05/2017 05:25:15
280,21,18344,48,4,1,09/05/2017 05:50:10
281,24,21165,67,4,3,09/05/2017 06:13:22
282,54,2002,42,1,1,09/05/2017 06:44:03
283,31,7667,50,9,1,09/05/2017 09:38:22
284,38,19724,50,7,2,09/05/2017 10:03:43
285,47,28398,35,3,2,09/05/2017 10:16:11
286,49,16960,64,3,3,09/05/2017 11:58:26
287,31,11704,49,7,4,09/05/2017 12:00:12
288,65,21694,45,9,3,09/05/2017 12:10:50
289,23,17284,54,4,1,09/05/2017 13:57:30
290,11,15330,51,5,2,09/05/2017 14:34:03
291,48,4592,59,7,1,09/05/2017 15:12:29
292,24,3474,60,7,4,09/05/2017 15:27:05
293,29,19871,55,1,3,09/05/2017 16:03:33
294,43,10102,46,8,4,09/05/2017 16:10:49
295,24,20785,57,5,4,09/05/2017 16:43:06
296,8,23330,60,8,5,09/05/2017 17:07:37
297,31,9142,43,9,1,09/05/2017 18:40:37
298,66,25043,35,5,5,09/05/2017 19:06:32
299,68,27058,38,8,2,09/05/2017 20:35:05
300,64,15082,61,4,5,09/05/2017 21:06:50
301,39,9156,44,9,3,09/05/2017 22:56:07
302,37,23026,64,5,5,09/05/2017 23:06:59
303,54,27415,46,3,4,09/05/2017 23:11:12
304,53,20855,66,2,4,09/05/2017 23:35:11
305,30,28467,39,9,4,09/05/2017 23:39:19
306,62,29639,41,8,2,10/05/2017 00:02:12
307,13,16868,37,2,1,10/05/2017 01:16:47
308,43,2035,45,2,3,10/05/2017 02:18:22
309,35,3683,45,9,1,10/05/2017 02:40:25
310,5,25700,35,7,2,10/05/2017 02:48:37
311,40,20263,64,4,1,10/05/2017 04:08:08
312,29,19065,40,8,2,10/05/2017 04:55:11
313,20,19521,41,6,4,10/05/2017 05:13:07
314,10,11967,46,5,2,10/05/2017 05:27:34
315,64,2405,39,8,3,10/05/2017 07:04:25
316,15,14965,67,6,1,10/05/2017 09:00:15
317,40,11689,43,9,2,10/05/2017 10:15:36
318,62,25272,54,5,5,10/05/2017 11:14:18
319,5,25473,60,8,3,10/05/2017 11:45:28
320,51,26339,65,2,5,10/05/2017 13:36:06
321,32,6858,59,3,2,10/05/2017 13:39:29
322,33,2191,45,5,5,10/05/2017 13:55:57
323,15,5678,66,4,2,10/05/2017 14:27:26
324,25,20912,38,3,1,10/05/2017 14:43:08
325,53,24102,59,1,2,10/05/2017 15:19:51
326,45,22294,59,1,1,10/05/2017 15:33:36
327,30,7573,59,7,4,10/05/2017 17:27:38
328,21,27263,41,2,5,10/05/2017 17:51:39
329,46,5939,41,8,1,10/05/2017 18:44:20
330,24,13768,67,3,4,10/05/2017 22:33:08
331,55,5120,50,4,5,10/05/2017 23:13:11
332,31,13835,43,9,1,10/05/2017 23:46:21
333,11,12490,49,4,5,10/05/2017 23:57:43
334,14,12350,48,7,5,11/05/2017 00:05:26
335,48,2351,58,9,3,11/05/2017 00:46:49
336,45,8319,47,5,1,11/05/2017 01:45:16
337,35,2852,40,3,1,11/05/2017 01:49:12
338,9,12335,39,9,3,11/05/2017 01:58:56
339,35,14453,42,3,4,11/05/2017 02:17:35
340,21,2298,55,9,4,11/05/2017 02:34:54
341,9,19597,37,3,3,11/05/2017 03:32:40
342,2,28916,45,3,5,11/05/2017 04:37:56
343,60,8010,52,8,1,11/05/2017 04:45:06
344,14,19686,58,6,5,11/05/2017 05:05:58
345,31,5731,45,6,5,11/05/2017 05:15:59
346,11,3716,35,3,1,11/05/2017 06:33:36
347,25,26645,49,1,1,11/05/2017 07:35:01
348,6,16230,67,9,1,11/05/2017 08:31:37
349,31,4563,53,7,4,11/05/2017 09:36:08
350,27,29762,58,2,2,11/05/2017 09:49:42
351,52,12185,35,4,2,11/05/2017 11:25:09
352,44,8561,64,8,4,11/05/2017 11:44:12
353,16,7092,46,2,3,11/05/2017 13:32:54
354,30,26864,42,4,3,11/05/2017 15:41:16
355,22,3368,50,4,4,11/05/2017 15:54:35
356,30,16888,34,6,3,11/05/2017 17:10:54
357,21,16724,44,8,5,11/05/2017 17:33:23
358,3,19465,35,7,1,11/05/2017 18:10:12
359,48,20621,41,3,1,11/05/2017 18:34:24
360,48,17153,58,8,4,11/05/2017 19:36:30
361,68,4102,62,1,3,11/05/2017 21:37:08
362,25,26022,57,8,4,11/05/2017 22:43:01
363,5,15517,52,5,3,11/05/2017 22:51:16
364,71,18360,53,1,2,11/05/2017 22:54:15
365,11,18278,44,8,5,11/05/2017 23:06:17
366,7,21460,36,9,3,11/05/2017 23:35:35
367,61,20093,50,9,1,12/05/2017 00:17:39
368,21,452,60,5,1,12/05/2017 00:23:06
369,4,4250,65,8,5,12/05/2017 00:27:59
370,4,14041,52,7,2,12/05/2017 01:23:24
371,8,2295,60,9,2,12/05/2017 01:29:14
372,39,27998,58,2,4,12/05/2017 02:20:54
373,41,10392,61,4,3,12/05/2017 02:33:01
374,31,26798,52,2,5,12/05/2017 02:46:36
375,6,16388,46,9,3,12/05/2017 03:43:54
376,64,22136,40,2,3,12/05/2017 05:20:32
377,3,8874,38,5,1,12/05/2017 05:52:15
378,48,7874,44,4,1,12/05/2017 07:17:52
379,63,6217,38,3,2,12/05/2017 07:21:44
380,12,10245,65,3,4,12/05/2017 07:43:25
381,9,11003,60,2,5,12/05/2017 08:09:08
382,53,8827,58,6,1,12/05/2017 08:17:23
383,67,28667,41,2,5,12/05/2017 08:42:54
384,46,27739,44,1,4,12/05/2017 08:51:03
385,67,13098,54,5,1,12/05/2017 10:38:33
386,19,21839,34,8,2,12/05/2017 10:55:02
387,37,24466,64,9,4,12/05/2017 11:42:54
388,59,966,65,8,4,12/05/2017 12:02:58
389,9,21535,56,4,5,12/05/2017 12:26:59
390,47,14763,53,3,3,12/05/2017 13:14:29
391,62,23650,43,8,2,12/05/2017 13:17:35
392,8,26557,55,1,5,12/05/2017 14:01:02
393,21,17615,59,6,2,12/05/2017 15:11:23
394,39,5340,56,5,5,12/05/2017 15:51:22
395,20,172,65,1,1,12/05/2017 16:28:19
396,52,1350,54,8,3,12/05/2017 17:19:21
397,55,8524,65,8,2,12/05/2017 18:35:05
398,40,3293,57,6,3,12/05/2017 19:54:57
399,25,29666,40,5,4,12/05/2017 20:08:29
400,45,29106,43,2,3,12/05/2017 20:13:19
401,50,22756,58,4,2,12/05/2017 20:56:55
402,2,21024,49,6,1,12/05/2017 21:03:06
403,32,7395,67,8,4,12/05/2017 21:17:17
404,24,26768,45,1,5,12/05/2017 22:24:17
405,16,1006,51,9,3,12/05/2017 22:32:34
406,31,19388,53,7,5,12/05/2017 22:33:33
407,42,24526,60,6,3,13/05/2017 00:39:28
408,66,7819,58,9,3,13/05/2017 01:09:07
409,50,14676,37,3,1,13/05/2017 01:15:33
410,21,20566,62,3,5,13/05/2017 01:20:34
411,20,19361,62,8,4,13/05/2017 01:23:56
412,23,7337,66,2,3,13/05/2017 01:35:00
413,13,21418,40,6,3,13/05/2017 02:08:14
414,47,25045,39,4,2,13/05/2017 02:12:49
415,31,17691,55,9,3,13/05/2017 03:22:14
416,15,15767,63,9,5,13/05/2017 03:26:52
417,61,27476,48,5,1,13/05/2017 03:59:47
418,29,5042,39,4,5,13/05/2017 04:07:37
419,39,8726,37,7,3,13/05/2017 04:40:40
420,62,10943,58,4,4,13/05/2017 05:59:34
421,12,11521,63,6,2,13/05/2017 08:26:59
422,67,13094,55,6,1,13/05/2017 09:20:30
423,4,116,37,5,3,13/05/2017 09:23:21
424,29,26580,60,3,4,13/05/2017 09:54:39
425,4,14731,45,3,2,13/05/2017 10:23:54
426,54,14292,48,1,4,13/05/2017 10:59:54
427,38,28375,36,6,1,13/05/2017 12:11:44
428,46,21121,38,9,2,13/05/2017 12:53:26
429,26,25388,60,5,1,13/05/2017 13:12:14
430,4,2039,61,4,4,13/05/2017 14:09:52
431,3,4336,62,7,5,13/05/2017 14:20:57
432,56,16384,55,1,3,13/05/2017 15:13:11
433,4,4854,54,8,2,13/05/2017 15:58:18
434,8,28033,53,1,5,13/05/2017 17:43:21
435,13,18622,60,1,1,13/05/2017 18:11:53
436,24,22158,57,7,4,13/05/2017 19:19:29
437,46,11189,40,2,2,13/05/2017 19:28:56
438,32,14165,38,4,4,13/05/2017 19:43:53
439,24,3300,62,6,5,13/05/2017 19:45:48
440,34,12801,61,8,2,13/05/2017 19:59:36
441,23,15176,49,9,2,13/05/2017 21:24:52
442,48,20150,37,7,3,13/05/2017 22:55:03
443,31,6275,57,6,5,13/05/2017 23:15:42
444,43,6996,49,8,3,14/05/2017 01:17:40
445,13,24114,35,2,5,14/05/2017 01:53:54
446,5,927,47,9,3,14/05/2017 02:34:04
447,18,17284,53,5,4,14/05/2017 03:23:43
448,19,17117,60,3,5,14/05/2017 03:43:19
449,30,7094,40,3,3,14/05/2017 03:48:17
450,29,18612,49,7,4,14/05/2017 04:33:38
451,24,25148,38,6,4,14/05/2017 04:36:37
452,25,11779,60,8,4,14/05/2017 05:41:37
453,2,37,49,2,4,14/05/2017 05:58:18
454,27,1794,59,1,1,14/05/2017 06:22:42
455,4,6036,39,4,3,14/05/2017 06:37:19
456,5,8490,50,1,3,14/05/2017 08:34:45
457,52,27940,35,9,3,14/05/2017 08:38:17
458,39,7147,40,2,5,14/05/2017 09:11:33
459,35,8042,55,3,1,14/05/2017 11:19:07
460,69,1395,46,9,4,14/05/2017 13:21:59
461,37,26228,38,4,2,14/05/2017 14:12:37
462,46,25427,51,1,3,14/05/2017 14:12:59
463,53,16055,54,1,1,14/05/2017 14:36:04
464,8,4788,58,1,5,14/05/2017 14:41:42
465,17,26720,44,1,5,14/05/2017 15:04:50
466,36,21978,52,4,5,14/05/2017 15:23:10
467,48,24510,47,8,4,14/05/2017 15:29:00
468,62,3221,39,3,5,14/05/2017 16:37:50
469,6,6067,45,1,5,14/05/2017 16:47:23
470,30,159,47,3,5,14/05/2017 17:29:49
471,2,7985,42,3,4,14/05/2017 19:07:26
472,28,248,62,4,3,14/05/2017 21:21:15
473,18,18270,64,7,1,14/05/2017 22:44:23
474,61,24693,60,7,4,14/05/2017 22:57:09
475,56,11100,64,8,5,14/05/2017 23:03:34
476,48,29342,55,6,5,15/05/2017 00:16:55
477,51,29045,40,8,3,15/05/2017 00:22:55
478,37,24777,44,3,5,15/05/2017 00:57:49
479,33,19052,61,9,4,15/05/2017 02:17:58
480,16,19741,34,5,2,15/05/2017 03:03:12
481,43,15271,36,1,5,15/05/2017 03:08:36
482,12,26350,41,9,5,15/05/2017 03:33:59
483,70,28684,66,9,3,15/05/2017 04:08:05
484,59,7779,44,3,5,15/05/2017 04:41:57
485,52,6958,44,4,2,15/05/2017 04:57:09
486,32,26973,48,8,5,15/05/2017 05:01:45
487,1,7271,42,9,5,15/05/2017 05:43:44
488,38,20594,53,2,1,15/05/2017 05:46:30
489,19,15095,59,4,3,15/05/2017 06:46:48
490,61,13840,55,5,2,15/05/2017 06:58:47
491,70,27724,63,9,4,15/05/2017 08:16:34
492,17,14431,54,8,3,15/05/2017 08:44:54
493,37,7179,59,4,5,15/05/2017 09:29:20
494,29,10857,60,7,2,15/05/2017 09:50:26
495,16,27852,47,8,3,15/05/2017 09:56:25
496,62,11550,50,3,2,15/05/2017 10:05:45
497,49,7,61,2,5,15/05/2017 11:07:52
498,40,1726,42,8,5,15/05/2017 11:30:41
499,48,18692,42,8,1,15/05/2017 11:45:02
500,42,17020,38,9,1,15/05/2017 12:26:01
501,22,14618,56,6,2,15/05/2017 12:59:32
502,58,8997,43,6,4,15/05/2017 13:27:37
503,63,16234,34,4,5,15/05/2017 14:46:12
504,38,25538,64,3,2,15/05/2017 14:53:59
505,45,22634,47,8,3,15/05/2017 15:24:01
506,46,8819,56,6,4,15/05/2017 16:32:28
507,60,17977,66,1,2,15/05/2017 18:34:38
508,25,15913,62,4,1,15/05/2017 18:52:10
509,54,12374,55,6,2,15/05/2017 20:41:48
510,52,1159,60,5,5,15/05/2017 20:52:40
511,25,1874,56,6,4,15/05/2017 21:03:13
512,39,622,55,5,1,15/05/2017 21:10:06
513,11,13273,42,9,3,15/05/2017 22:14:47
514,54,24365,65,8,5,15/05/2017 23:30:33
515,59,23147,60,3,1,16/05/2017 00:06:34
516,54,14758,61,6,2,16/05/2017 00:54:44
517,58,18469,36,8,5,16/05/2017 01:39:29
518,2,2155,64,1,3,16/05/2017 01:43:19
519,26,21366,57,2,5,16/05/2017 02:02:23
520,68,19082,46,3,3,16/05/2017 03:13:29
521,41,4689,64,4,3,16/05/2017 03:34:19
522,52,20004,61,5,3,16/05/2017 05:11:32
523,53,12072,48,7,5,16/05/2017 05:52:32
524,18,27261,56,6,5,16/05/2017 06:21:41
525,37,21388,52,9,4,16/05/2017 06:35:57
526,33,7122,49,5,2,16/05/2017 07:24:50
527,44,5263,61,5,4,16/05/2017 07:27:12
528,37,27480,61,5,5,16/05/2017 08:33:45
529,68,20534,49,6,4,16/05/2017 10:23:30
530,47,23156,66,3,3,16/05/2017 10:45:55
531,21,22724,53,9,2,16/05/2017 10:56:24
532,64,16901,67,1,3,16/05/2017 12:15:49
533,14,4170,67,5,3,16/05/2017 13:35:43
534,2,11458,35,8,5,16/05/2017 13:58:17
535,42,16272,46,3,4,16/05/2017 15:57:58
536,24,18714,52,4,1,16/05/2017 17:14:34
